"Position","Candidate Name","Votes","Votes %","Party"
1,Vikram Dev Usendi,465215,45.7%,Bharatiya Janta Party
2,Foolodevi Netam,430057,42.3%,Indian National Congress
3,Ramesh Kumar Gawde,23482,2.3%,Communist Party Of India
4,Mahendra Gawade,14136,1.4%,Independent
5,Santosh Kumar Dhruw,10606,1.0%,Aam Aadmi Party
6,Ramsay Korram,9391,0.9%,Bahujan Samaj Party
7,Jamuna Mandavi,8972,0.9%,Chhattisgarh Swabhiman Manch
8,Malik Ram Thakur,8963,0.9%,Ambedkarite Party Of India
9,Hemlal Markam,7586,0.7%,Gondvana Gantantra Party
10,Amal Say Sori,6618,0.7%,Independent
