x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Gopal Rai,"75,928",59.3%,Aam Aadmi Party
2,2,Naresh Gaur,"40,440",31.6%,Bharatiya Janta Party
3,3,Zakir Khan,"9,916",7.7%,Indian National Congress
4,4,Mohd Abdul Haq,754,0.6%,Bahujan Samaj Party
5,5,Mohd Shahin,149,0.1%,Independent
6,6,Anil Kumar Sharma,141,0.1%,Rashtriya Bahujan Congress Party
7,7,Kesar,96,0.1%,Peace Party
8,8,Pradeep Jain,87,0.1%,Independent
9,9,Arun Thakur,62,0.1%,Samyak Parivartan Party
10,10,Nadeem Ahmad,52,0.0%,Independent
11,11,Mohd  Nazir,48,0.0%,Aman Samaj Party
12,12,Mohd Arif,43,0.0%,Independent
13,13,Fazul Rahman,43,0.0%,Independent
