"Position","Candidate Name","Votes","Votes %","Party"
1,Raghav Lakhanpal,472999,39.6%,Bharatiya Janta Party
2,Imran Masood,407909,34.2%,Indian National Congress
3,Jagdish Singh Rana,235033,19.7%,Bahujan Samaj Party
4,Shazan Masood Urf Shadan Masood,52765,4.4%,Samajwadi Party
5,Hansraj Saini,4068,0.3%,Independent
6,Seshraj,4057,0.3%,Independent
7,Yogesh Kumar,3065,0.3%,Aam Aadmi Party
8,Cp Verma,2114,0.2%,Independent
9,Shiv Kumar,1888,0.2%,Ambedkar Samaj Party
10,Ratan Singh,1366,0.1%,Bahujan Mukti Party
11,Raghuveer Singh Bodh,1066,0.1%,Independent
12,Mohd. Firoz Aftab,692,0.1%,Independent
13,Shahanavaj,553,0.0%,Rashtriya Janmorcha
14,Rajender Kumar,466,0.0%,Adarsh Rashtriya Vikas Party
