"Position","Candidate Name","Votes","Votes %","Party"
1,V.Sathyabama,442778,42.2%,All India Anna Dravida Munnetra Kazhagam
2,N.Dineshkumar,263463,25.1%,Desiya Murpokku Dravida Kazhagam
3,M.Senthilnathan,205411,19.6%,Dravida Munetra Kazhagam
4,E.V.K.S. Elangovan,47554,4.5%,Indian National Congress
5,K.Subbarayan,33331,3.2%,Communist Party Of India
6,R.R.Murugan,6422,0.6%,Independent
7,N.Gurusamy,4665,0.4%,Bahujan Samaj Party
8,P.Selvaboobathi,4264,0.4%,Independent
9,M.Palanisamy,4074,0.4%,Independent
10,R.Chakravarthi Raja Gopala Krishnan,3087,0.3%,Aam Aadmi Party
11,R.Gopalsamy,2167,0.2%,Lok Satta Party
12,R.Murugesan,2010,0.2%,Makkal Manadu Katchi
13,M.Rajendran,1991,0.2%,Independent
14,K.Senthilkumar,1926,0.2%,Independent
15,S.K.Dineshkumar,1820,0.2%,Independent
16,R.Sathyabhama,1193,0.1%,Independent
16,A.Ponnusamy,1193,0.1%,Independent
18,Pastor A.James,1153,0.1%,Independent
19,T.S.Senthilkumar,1151,0.1%,Independent
20,R.Sathyabama,1097,0.1%,Independent
21,A.Mogheeth Khan,1038,0.1%,Independent
22,N.Sivakumar,949,0.1%,Ulzaipali Makkal Katchy
23,P.Balasubramaniyan,916,0.1%,Independent
24,J.Laxmi,908,0.1%,Communist Party Of India (Marxist-Leninist) Red Star
25,R.Nandhakumar,900,0.1%,Independent
26,A.K.Sheikdavood,788,0.1%,Independent
