"Position","Candidate Name","Votes","Votes %","Party"
1,Venugopal.P.(DR),628499,50.1%,All India Anna Dravida Munnetra Kazhagam
2,Ravikumar.D,305069,24.3%,Viduthalai Chiruthaigal Katchi
3,Yuvaraj.V,204734,16.3%,Desiya Murpokku Dravida Kazhagam
4,Jayakumar.M,43960,3.5%,Indian National Congress
5,Kannan A.S,13794,1.1%,Communist Party Of India
6,Sathyamurthy.C,11137,0.9%,Bahujan Samaj Party
7,Balamurugan.B,8260,0.7%,Aam Aadmi Party
8,Venugopal.P,3085,0.2%,Independent
9,Ravikumar.M,2966,0.2%,Independent
10,Srinivasan.D,2642,0.2%,Samajwadi Party
11,Vetriselvam.K,2441,0.2%,Independent
12,Chandrasekaran.M,1597,0.1%,Independent
13,Doss.R,1596,0.1%,Independent
14,Suresh Kumar.S,1062,0.1%,Independent
