"Position","Candidate Name","Votes","Votes %","Party"
1,R. Dhruvanarayana,567782,50.1%,Indian National Congress
2,A. R. Krishna Murthy,426600,37.7%,Bharatiya Janta Party
3,M Shivanna (KOTE),58760,5.2%,Janata Dal (Secular)
4,Shivamallu,34846,3.1%,Bahujan Samaj Party
5,Nirmala Kumari,6604,0.6%,Independent
6,S. Govinda Naik,5398,0.5%,Independent
7,Ananda G,3906,0.3%,Independent
8,Sampath Kumar,3357,0.3%,Aam Aadmi Party
9,Bannur Surendra,2762,0.2%,Sarva Janata Party
10,Pradeep Kumar M,2492,0.2%,Karunaadu Party
11,B Guruswamy,2043,0.2%,Samajwadi Party
12,Chaudahally Javaraiah,2008,0.2%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
13,Kathavaray,1949,0.2%,Dr. Ambedkar Samajvadi Democratic Party
14,Kandegala Srinivasamurthy,1825,0.2%,Communist Party Of India (Marxist-Leninist) Red Star
