"Position","Candidate Name","Votes","Votes %","Party"
1,Santosh Kumar Gangwar,518258,50.9%,Bharatiya Janta Party
2,Ayesha Islam,277573,27.3%,Samajwadi Party
3,Umesh Gautam,106049,10.4%,Bahujan Samaj Party
4,Praveen Singh Aron,84213,8.3%,Indian National Congress
5,Massarat Warsi (PAPPU BHAI),7639,0.8%,Communist Party Of India
6,Sunil Kumar,3703,0.4%,Aam Aadmi Party
7,Aslam Advocate,3338,0.3%,Peace Party
8,Netram,2038,0.2%,Independent
9,Sayad Rashid Ali,1885,0.2%,Independent
10,Kamal Kishore Engineer,1806,0.2%,Independent
11,Manoj Vikat,1567,0.2%,Independent
12,Lotan Singh Patel,1402,0.1%,Independent
13,Javed Khan,964,0.1%,Independent
14,Laeek Ahmad,719,0.1%,Naitik Party
