"Position","Candidate Name","Votes","Votes %","Party"
1,Arunmozhithevan.A,481429,48.9%,All India Anna Dravida Munnetra Kazhagam
2,Nandagopalakrishnan.K.,278304,28.3%,Dravida Munetra Kazhagam
3,Jayasankar.C.R,147606,15.0%,Desiya Murpokku Dravida Kazhagam
4,Alagiri.S,26650,2.7%,Indian National Congress
5,Balasubramanian.K,11122,1.1%,Communist Party Of India
6,Rajkumar.V,7678,0.8%,Independent
7,Jaishankar.P.,6250,0.6%,Independent
8,Syed Mohideen.A.G.,3473,0.4%,Aam Aadmi Party
9,Senthilmurugan.S,2642,0.3%,Bahujan Samaj Party
10,Thirunavukkarasu,1782,0.2%,Independent
11,Radhakrishnan.K.R,1370,0.1%,Independent
12,Anandharajan.S,1309,0.1%,Independent
13,Sivagnanasambandan.T,1257,0.1%,Independent
14,Shruti Mishra,944,0.1%,Union Party Of India
15,Baskar.A,872,0.1%,Independent
16,Senguttuvan.R,862,0.1%,Independent
17,Girija.S,650,0.1%,Independent
