"Position","Candidate Name","Votes","Votes %","Party"
1,Jayadev Galla,618417,49.7%,Telugu Desam
2,Balashowry Vallabhaneni,549306,44.1%,Yuvajana Sramika Rythu Congress Party
3,Abdul Waheed Shaik,46818,3.8%,Indian National Congress
4,Mallela Venkata Rao,5608,0.5%,Jai Samaikyandhra Party
5,Mallela Babu Rao,4223,0.3%,Bahujan Samaj Party
6,Udaia Kumar Musuku,2852,0.2%,Indian Christian Secular Party
7,Dr. Koutharapu Ravindra,2594,0.2%,Great India Party
8,Kata Veera Vara Prasad,2344,0.2%,Aam Aadmi Party
9,Abburi Koteswara Rao,1636,0.1%,Pyramid Party Of India
10,Emani Chandra Sekhar Rao,1455,0.1%,Navodyam Party
11,Bitra Venkata Sivannarayana,1169,0.1%,Independent
12,Arudala Venkateswara Rao,908,0.1%,Independent
