"Position","Candidate Name","Votes","Votes %","Party"
1,Gawali Bhavana Pundlikrao,477905,46.3%,Shiv Sena
2,Adv.Shivajirao Shivaramji Moghe,384089,37.2%,Indian National Congress
3,Rathod Baliram Parashram,48981,4.7%,Bahujan Samaj Party
4,Raju Or Bharatraje Uddhaorao Patil,26194,2.5%,Maharashtra Navnirman Sena
5,Rathod Mohan Mallu,22143,2.1%,Bharipa Bahujan Mahasangh
6,Gaikawad Rajendra Vitthal,7482,0.7%,Independent
7,Ulhas Vasramji Jadhao,7166,0.7%,Independent
8,Rathod Naresh Fulsing,6423,0.6%,Aam Aadmi Party
9,Abrar Ahmad Mahmud Khan,5672,0.5%,Welfare Party Of India
10,Dhote Jambuwantrao Bapurao,4708,0.5%,All India Forward Bloc
11,Rathod Induwar Kashiram,4627,0.4%,Bahujan Mukti Party
12,Sudhakar Namdeorao Ghayawan,3602,0.3%,Republican Party Of India (KHOBRAGADE)
13,Naresh Mahadeorao Gughane,3422,0.3%,Independent
14,Ahmad Parvez Iqbal Ahmad Nur Mohammad,3262,0.3%,Samajwadi Party
15,Prakash Raghunath Raut,2514,0.2%,Independent
16,Gurnule Ramesh Vithoba,2484,0.2%,Independent
17,Sawake Ramkrushna Pundlikrao,2193,0.2%,Communist Party Of India (Marxist-Leninist) Red Star
18,Chavan Vinod Narayan,2177,0.2%,Independent
19,Shaikh Jabbar Shaikh Usuf,2172,0.2%,Independent
20,Suresh Rajaram Mukhmale,2130,0.2%,Maharashtra Vikas Aghadi
21,Raghunath Shankarrao Shelke,1911,0.2%,Ambedkarist Republican Party
22,Prashant Pandharinath Surve,1558,0.2%,Independent
23,Kamble Uttam Bhagaji,1402,0.1%,Prabuddha Republican Party
24,Shyamkumar Bapurao Lokhande,1218,0.1%,Independent
25,Meshram Dnyaneshwar Tukaram,1036,0.1%,Independent
26,Patil Upendra Babarao,895,0.1%,Independent
