"Position","Candidate Name","Votes","Votes %","Party"
1,Pralhad Joshi,545395,52.4%,Bharatiya Janta Party
2,Vinay Kulkarni,431738,41.5%,Indian National Congress
3,Bankapur. Hanumanthappa Mallappa,8836,0.8%,Janata Dal (Secular)
4,Irappa Bharamappa Madar,6858,0.7%,Bahujan Samaj Party
5,Shailendra Patil,6196,0.6%,Independent
6,Pramod Hanumantharao Muthalik,5465,0.5%,Independent
7,Hemant Kumar,4349,0.4%,Aam Aadmi Party
8,Gurushantappa H. Chalavadi.,4128,0.4%,Republican Party Of India (A)
9,Shreekant Kabadi,3018,0.3%,Independent
10,Sanjay Kothari,2359,0.2%,Independent
11,Vikas B. Soppin,2174,0.2%,Independent
12,Gangadhar S. Badiger,1785,0.2%,Socialist Unity Centre Of India (COMMUNIST)
13,Maruti Ramappa Hanasi,1587,0.2%,Independent
14,Shakeel Abdulsattar Dodwad,1368,0.1%,Independent
15,Irshad Begam Adhoni.,1053,0.1%,Independent
16,Imamsab Mehboobsab Torgal.,995,0.1%,Independent
17,Dokka Anandaraj,985,0.1%,Independent
