"Position","Candidate Name","Votes","Votes %","Party"
1,Babulal,426589,44.1%,Bharatiya Janta Party
2,Seema Upadhyay,253483,26.2%,Bahujan Samaj Party
3,Rani Pakshalika Singh,213397,22.0%,Samajwadi Party
4,Amar Singh,24185,2.5%,Rashtriya Lok Dal
5,Vijay Singh Kushwaha,5223,0.5%,Sanyukt Samajwadi Dal
6,Anil Kumar,3809,0.4%,Independent
7,Ambedkari Hasnuram Ambedkari,3512,0.4%,Independent
8,Santosh Kumar,3184,0.3%,Independent
9,Laxmi,3117,0.3%,Aam Aadmi Party
10,Diwan Singh,3101,0.3%,Independent
11,Brajendr Singh,2725,0.3%,Independent
12,Ashok Kumar,2553,0.3%,Gareeb Aadmi Party
13,Natholi,2356,0.2%,Independent
14,Satish Kumar,2235,0.2%,Independent
15,Ram Braj Yadav,2057,0.2%,Independent
16,Pankaj Kumar Sharma,2052,0.2%,Rashtriya Samanta Dal
17,Ram Kumar Dixit,1657,0.2%,Independent
18,Seema Devi,1571,0.2%,Independent
19,Megh Singh,1529,0.2%,Peace Party
20,Rohan Singh,1063,0.1%,Bahujan Mukti Party
21,Shobhna Bauddha,1006,0.1%,Independent
22,Khemraj Singh,951,0.1%,Independent
23,Peetam Singh,872,0.1%,Rashtriya Kranti Party
24,Pitam Singh,691,0.1%,Janata Dal (United)
25,Rakesh Singh Dhankar,650,0.1%,Independent
26,Manik,643,0.1%,Lok Dal
27,Mahavir Singh Solanki,583,0.1%,Independent
28,Munna Lal,497,0.1%,Rashtriya Mahan Gantantra Party
