x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Subrata Bose,"520,384",45.3%,All India Forward Bloc, AC View
2,2,Dr. Ranjit Kumar Panja,"508,224",44.2%,All India Trinamool Congress, AC View
3,3,Prabir Banerjee,"61,014",5.3%,Indian National Congress, AC View
4,4,Dulal Chandra Das,"24,367",2.1%,Bahujan Samaj Party, AC View
5,5,Waliur Rahaman,"12,132",1.1%,Samajwadi Party, AC View
6,6,Sampatia Munda,"7,932",0.7%,Independent, AC View
7,7,Sankar Ghosh,"6,156",0.5%,Independent, AC View
8,8,Anjan Adhikary,"6,031",0.5%,Independent, AC View
9,9,Arun Basu,"3,869",0.3%,Independent, AC View
10,10,Kabi Roy,"3,051",0.3%,Samata Party, AC View
