x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Krishna Tirath,"138,596",55.6%,Indian National Congress, AC View
2,2,Anita Arya,"100,967",40.5%,Bharatiya Janta Party, AC View
3,3,Satya Pal Singh,"6,634",2.7%,Bahujan Samaj Party, AC View
4,4,Saroj,987,0.4%,Independent, AC View
5,5,Yudhveer Singh,386,0.2%,Samajwadi Janata Party (RASHTRIYA), AC View
6,6,Satish Kumar,349,0.1%,Independent, AC View
7,7,Lajpat Rai,299,0.1%,Independent, AC View
8,8,Ghan Shyam Morwal,260,0.1%,Desh Bhakt Party, AC View
9,9,Kishan Pyari,171,0.1%,Independent, AC View
10,10,Dr. P.L. Premi,137,0.1%,Independent, AC View
11,11,Babu Lal,122,0.0%,Independent, AC View
12,11,Ram Bahau Rawat,122,0.0%,Rashtriya Swabhimaan Party, AC View
13,13,Prashottam Dass Gugrodiya,81,0.0%,Independent, AC View
14,14,Paluskar Krhishanarao,74,0.0%,Independent, AC View
