x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Mamata Banerjee,"393,561",51.1%,All India Trinamool Congress, AC View
2,2,Rabin Deb,"295,132",38.3%,Communist Party Of India (MARXIST), AC View
3,3,Nafisa Ali,"60,377",7.8%,Indian National Congress, AC View
4,4,Sujit Kumar Roy,"4,782",0.6%,Independent, AC View
5,5,Kusha Ram,"4,431",0.6%,Bahujan Samaj Party, AC View
6,6,Bandana Das,"4,130",0.5%,Independent, AC View
7,7,Mukul Paul,"2,524",0.3%,Independent, AC View
8,8,Ranjit Banerjee,"2,306",0.3%,Independent, AC View
9,9,Barnali Mukherjee,"2,258",0.3%,Independent, AC View
10,10,Santu Mukherjee,"1,708",0.2%,Independent, AC View
11,11,Bhusan Mondal,"1,533",0.2%,Independent, AC View
