x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Patil Rupatai Diliprao Nilangekar,"404,500",49.3%,Bharatiya Janta Party, AC View
2,2,Patil Shivraj Vishwanath,"373,609",45.5%,Indian National Congress, AC View
3,3,Adv.  Laxman Narhari Shinde,"13,465",1.6%,Bahujan Samaj Party, AC View
4,4,Dnyoso Kondekar Alias Vijayprakash,"12,459",1.5%,Independent, AC View
5,5,Shaikh Kalim Allahbaksha,"4,589",0.6%,Independent, AC View
6,6,Adv  Baburao Bandgar,"3,297",0.4%,Lok Rajya Party, AC View
7,7,T M Kamble,"2,370",0.3%,Republican Party Of India (DEMOCRATIC), AC View
8,8,Manohar Anandrao Patil,"1,881",0.2%,Independent, AC View
9,9,Mane Gajanan Pandurang,"1,783",0.2%,Independent, AC View
10,10,Dr Nitin Sopanrao Waghe,"1,591",0.2%,Rashtriya Samaj Paksha, AC View
11,11,Bagdure Vinayak Vishwanathrao,"1,423",0.2%,Shivrajya Party, AC View
12,12,Godbole Mandakini Gyanu,"1,388",0.2%,Prabuddha Republican Party, AC View
