x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Lalu Prasad,"344,301",49.5%,Rashtriya Janata Dal, AC View
2,2,Sharad Yadav,"274,314",39.4%,Janata Dal (United), AC View
3,3,Arvind Sah,"21,152",3.0%,Bahujan Samaj Party, AC View
4,4,Satto Mandal,"11,673",1.7%,Independent, AC View
5,5,N. K. Singh,"9,685",1.4%,Samata Party, AC View
6,6,Anant Lal Sada,"8,493",1.2%,Samajwadi Party, AC View
7,7,Prasanna Kumar,"6,475",0.9%,Independent, AC View
8,8,Shashishekhar Prasad Singh,"4,712",0.7%,Independent, AC View
9,9,Dr. Bijendra Kumar,"4,594",0.7%,Independent, AC View
10,10,Md. Kamaluddin,"3,592",0.5%,Jai Hind Party, AC View
11,11,Ram Naresh Chaupal,"3,524",0.5%,Independent, AC View
12,12,Radheshyam Agarwal,"3,159",0.5%,Independent, AC View
