x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Ranjeet Ranjan,"350,426",47.5%,Lok Jan Shakti Party, AC View
2,2,Dinesh Chandra Yadav,"319,639",43.3%,Janata Dal (United), AC View
3,3,Suresh Kumar Azad,"15,415",2.1%,Independent, AC View
4,4,Shiv Shankar Thakur,"12,770",1.7%,Samajwadi Party, AC View
5,5,Devendra Mukhia,"8,964",1.2%,Independent, AC View
6,6,Suresh Prasad Mehta,"8,950",1.2%,Bahujan Samaj Party, AC View
7,7,Mohan Kamat,"7,301",1.0%,Apna Dal, AC View
8,8,Ramdeo Sharma,"7,283",1.0%,Independent, AC View
9,9,Mohd. Kamal Uddin,"4,220",0.6%,Jai Hind Party, AC View
10,10,Deonarayan Das,"3,312",0.4%,Shiv Sena, AC View
