x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Varkala Radhakrishnan,"313,615",46.9%,Communist Party Of India (MARXIST), AC View
2,2,M I Shanavas,"262,870",39.3%,Indian National Congress, AC View
3,3,Advocate J R Padmakumar,"71,982",10.8%,Bharatiya Janta Party, AC View
4,4,Dr P D Rajan,"6,821",1.0%,Bahujan Samaj Party, AC View
5,5,A Ansari,"4,756",0.7%,Independent, AC View
6,6,Santhinagar Soman,"3,204",0.5%,Independent, AC View
7,7,M Murali Kumar,"1,663",0.2%,Independent, AC View
8,8,B Padmakumar,"1,448",0.2%,Independent, AC View
9,9,M B Thankappan,"1,406",0.2%,Independent, AC View
10,10,Sreenivasa Das,"1,141",0.2%,Independent, AC View
11,11,P Devarajan,733,0.1%,Independent, AC View
