x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Govinda,"559,763",50.0%,Indian National Congress, AC View
2,2,Ram Naik,"511,492",45.7%,Bharatiya Janta Party, AC View
3,3,Vidya Chavan,"14,183",1.3%,Independent, AC View
4,4,Akhileshwar Nandlal Choubey,"9,313",0.8%,Bahujan Samaj Party, AC View
5,5,Shyam Tipanna Kurhade,"7,216",0.6%,Independent, AC View
6,6,Anita Naik,"4,649",0.4%,Naari Shakti Party, AC View
7,7,Agrawal B. R. Kumar,"3,955",0.4%,Samajwadi Party, AC View
8,8,Shaikh Fateh Mohammad,"2,734",0.2%,Independent, AC View
9,9,Rajesh B. Dharia,"1,340",0.1%,Independent, AC View
10,10,Ramasare (BACHHAN) YADAV,"1,278",0.1%,Kranti Kari Jai Hind Sena, AC View
11,11,Mahant Shriramswrup Das Maharaj Ayodhyawale,"1,249",0.1%,Akhil Bharat Hindu Mahasabha, AC View
12,12,Babubhai Gala,"1,228",0.1%,Independent, AC View
13,13,Mohammed Patel,942,0.1%,Independent, AC View
