x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Ram Kripal Yadav,"433,853",48.1%,Rashtriya Janata Dal, AC View
2,2,C. P. Thakur,"395,291",43.8%,Bharatiya Janta Party, AC View
3,3,Ranjan Prasad Yadav,"18,035",2.0%,Sampurna Vikas Dal, AC View
4,4,Vidya Nand Vakal,"12,680",1.4%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION), AC View
5,5,Manoj Kumar Singh,"12,651",1.4%,Bahujan Samaj Party, AC View
6,6,Jitendra Thakur,"4,475",0.5%,Apna Dal, AC View
7,7,Manoj Kumar,"3,541",0.4%,Independent, AC View
8,8,Ravi Shankar Kushwaha,"3,213",0.4%,Independent, AC View
9,9,Kameshwar Prasad Singha,"2,601",0.3%,Independent, AC View
10,10,Md. Shahabuddin,"1,925",0.2%,Samajwadi Party, AC View
11,11,Sunil Kumar Choudhary Nishad,"1,802",0.2%,Independent, AC View
12,12,Ram Nagina Choudhary,"1,376",0.2%,Independent, AC View
13,13,Amit Kumar Albela,"1,359",0.2%,Independent, AC View
14,14,Radhey Shyam Gupta Alias Radhe Shyam,"1,310",0.1%,Janhit Samaj Party, AC View
15,15,Dwarika Singh,"1,304",0.1%,Vijeta Party, AC View
16,16,N. M. Bajoriya,"1,270",0.1%,Akhil Bharat Hindu Mahasabha, AC View
17,17,Om Prakash Sinha,"1,177",0.1%,Independent, AC View
18,18,Sunil Kumar Singh,"1,039",0.1%,Rashtriya Lok Dal, AC View
19,19,Kunj Bihari,912,0.1%,Independent, AC View
20,20,Shatrudhan Sharma,535,0.1%,Independent, AC View
21,21,Rama Nand Sinha,462,0.1%,Independent, AC View
22,22,Ram Kumar Singh,454,0.1%,Independent, AC View
23,23,Shajad Alam,351,0.0%,Independent, AC View
