x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Krishna Murari Moghe,"321,762",49.4%,Bharatiya Janta Party, AC View
2,2,Tarachand Shivaji Patel,"263,145",40.4%,Indian National Congress, AC View
3,3,Kashiram Yadav,"17,996",2.8%,Samajwadi Party, AC View
4,4,Suresh Chouhan,"14,503",2.2%,Independent, AC View
5,5,Bhagwan-Badole,"11,594",1.8%,Bahujan Samaj Party, AC View
6,6,Remsingh Kirade ( REMA),"8,282",1.3%,Independent, AC View
7,7,Yashwant Kumar Kumrawat,"6,357",1.0%,Independent, AC View
8,8,Ashok Prajapati,"3,700",0.6%,Independent, AC View
9,9,Mangilal Mandloi,"2,579",0.4%,Independent, AC View
10,10,Pratibha Rathor,"2,336",0.4%,Independent, AC View
