x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Tarit Baran Topdar,"443,048",55.9%,Communist Party Of India (MARXIST), AC View
2,2,Arjun Singh,"277,977",35.1%,All India Trinamool Congress, AC View
3,3,Debi Ghosal,"43,750",5.5%,Indian National Congress, AC View
4,4,Subrata Biswas,"9,072",1.1%,Independent, AC View
5,5,Chapala Majumder,"6,473",0.8%,Bahujan Samaj Party, AC View
6,6,Tarkeshwar Singh,"3,920",0.5%,Independent, AC View
7,7,Amal Kumar Sen,"3,071",0.4%,Independent, AC View
8,8,Dinesh Kumar Sharma,"1,927",0.2%,Independent, AC View
9,9,Arjun Prasad Singh,"1,875",0.2%,Independent, AC View
10,10,Tapan Sinha,"1,466",0.2%,Independent, AC View
11,11,Arjun Bag,947,0.1%,Independent, AC View
12,12,Ganesh Das,900,0.1%,Independent, AC View
