x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Preneet Kaur,"409,917",46.8%,Indian National Congress, AC View
2,2,Kanwaljit Singh,"386,250",44.1%,Shiromani Akali Dal, AC View
3,3,Hargopal Singh,"39,331",4.5%,Bahujan Samaj Party, AC View
4,4,Gurnam Singh,"11,496",1.3%,Shiromani Akali Dal (SIMRANJIT SINGH MANN), AC View
5,5,Ram Sarup,"6,070",0.7%,Independent, AC View
6,6,Ram Isher Singh,"5,460",0.6%,Independent, AC View
7,7,Gurbachan Singh,"3,356",0.4%,Samata Samaj Party, AC View
8,8,Darshan Singh,"2,992",0.3%,Independent, AC View
9,9,Binder Kaur,"2,535",0.3%,Independent, AC View
10,10,Jai Pal,"1,924",0.2%,Independent, AC View
11,11,Krishna Dahri,"1,585",0.2%,Independent, AC View
12,12,Kartar Singh,"1,358",0.2%,Independent, AC View
13,13,Ranjit Kaur,933,0.1%,Bharatiya Gaon Taj Dal, AC View
14,14,Harbans Singh,924,0.1%,Independent, AC View
