x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Alok Kumar Mehta,"437,457",50.6%,Rashtriya Janata Dal, AC View
2,2,Ram Chandra Singh,"310,674",35.9%,Janata Dal (United), AC View
3,3,Sheel Kumar Roy,"60,191",7.0%,Independent, AC View
4,4,Ramchandra Mahto,"17,647",2.0%,Communist Party Of India, AC View
5,5,Shyam Narayan Roy,"11,344",1.3%,Independent, AC View
6,6,Surendra Prasad,"7,134",0.8%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION), AC View
7,7,Biresh Chaudhary,"4,731",0.5%,Independent, AC View
8,8,Ramprit Thakur,"4,233",0.5%,Independent, AC View
9,9,Saiydul Zafar Ansari,"3,884",0.4%,Bahujan Samaj Party, AC View
10,10,Dewaki Sah,"1,901",0.2%,Independent, AC View
11,11,Rajendra Prasad Yadav,"1,894",0.2%,Samajwadi Party, AC View
12,12,Rama Shankar Ram,"1,840",0.2%,Independent, AC View
13,13,Arun Kumar Thakur,"1,816",0.2%,Independent, AC View
