x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Palanimanickam. S. S.,"400,986",56.7%,Dravida Munetra Kazhagam, AC View
2,2,Thangamuthu. K,"281,838",39.9%,All India Anna Dravida Munnetra Kazhagam, AC View
3,3,Shahul Hameed. A. R.,"10,606",1.5%,Independent, AC View
4,4,Dharamalingam. N,"5,018",0.7%,Independent, AC View
5,5,Venkatesan. A,"3,947",0.6%,Jharkhand Party, AC View
6,6,Keshor Kumar. T. P.,"1,901",0.3%,Independent, AC View
7,7,Dhayanithi. J,904,0.1%,Independent, AC View
8,8,Sozhamannar Kanakaraja. K,789,0.1%,Independent, AC View
9,9,Senthilkumar. P. K.,776,0.1%,Independent, AC View
10,10,Susai Arul. V,576,0.1%,Independent, AC View
11,11,Charles. A,469,0.1%,Independent, AC View
12,12,Singaravelu. G,468,0.1%,Independent, AC View
13,13,Sivakumar. M,446,0.1%,Independent, AC View
